time_bucket_id,unique_src_ips,unique_dst_ips,unique_dst_ports,avg_duration,failed_conns,tcp_count,dns_count,unique_domains,file_count,total_file_bytes,reporter_count,snmp_count,tunnel_count,unique_tunnel_types,failed_conn_ratio,tcp_ratio,snmp_write_ratio,traffic_asymmetry,total_bytes,src_concentration,weird_rate,dns_to_conn_ratio,nxdomain_ratio
28,1152,149,395,0.3668981640228766,1766,1601,4.0,4.0,11.0,3010.0,14.0,4.0,3.0,1.0,0.8568655992236778,0.7768073750606501,0.0,-0.12456862963375265,44915.0,0.5589519650655022,0.022804463852498787,0.0019408054342552159,0.0
29,1157,154,283,0.2666239719466859,1682,1500,12.0,11.0,18.0,1943.0,18.0,3.0,2.0,1.0,0.8621219887237315,0.7688364941055869,0.0,-0.12376710149538657,9429.0,0.593029215786776,0.004100461301896463,0.006150691952844695,0.0
30,1122,135,275,0.3000627737778883,1610,1425,5.0,4.0,15.0,1737.0,17.0,7.0,5.0,1.0,0.8482613277133825,0.7507903055848262,0.0,0.028646320913686577,5341.0,0.5911485774499473,0.022655426765015807,0.0026343519494204425,0.0
31,1055,139,347,0.327399457606037,1699,1424,6.0,5.0,6.0,1590.0,18.0,1.0,1.0,1.0,0.8235579253514299,0.6902569074163839,0.0,-0.45929111671362893,6743.0,0.5113911778962675,0.015026660203587009,0.00290838584585555,0.0
32,1042,136,360,2.3294656780494494,1641,1484,17.0,8.0,411.0,62304287.0,14.0,4.0,3.0,1.0,0.7806850618458611,0.7059942911512845,0.0,-0.050619493358446406,5731942.0,0.49571836346336823,0.003330161750713606,0.008087535680304472,0.0
33,1041,161,336,0.6255017221996697,1675,1449,11.0,8.0,20.0,960.0,14.0,0.0,1.0,1.0,0.8519837232960326,0.737029501525941,0.0,0.14835672858703874,11897.0,0.529501525940997,0.00254323499491353,0.005595116988809766,0.0
34,5641,141,404,0.3031113245002989,74726,76668,19.0,8.0,192.0,15745900.0,10.0,3.0,0.0,0.0,0.969296823317292,0.9944871778241864,0.0,0.9995601752243848,2551743472.0,0.07317136445591688,0.00038914038888096194,0.00024645557962460924,0.10526315789473684
35,5144,160,306,1.3485707659625783,26017,25953,14.0,7.0,11.0,1675.0,14.0,6.0,1.0,1.0,0.9857911488329796,0.9833661715671416,0.0,0.9999998173106868,42542170989.0,0.19490754774173993,0.0020460745680509246,0.0005304637769020915,0.2857142857142857
36,1089,119,385,0.7409577311578439,1659,1468,24.0,8.0,44.0,3239.0,8.0,3.0,0.0,0.0,0.8233250620347394,0.7285359801488833,0.0,-0.17130977130977132,38480.0,0.5404466501240694,0.001488833746898263,0.011910669975186104,0.08333333333333333
37,1086,149,416,0.7102964227569515,1702,1389,20.0,8.0,18.0,2580.0,15.0,4.0,0.0,0.0,0.7979371776840132,0.6511954992967651,0.0,0.044324672190491514,12431.0,0.509142053445851,0.008438818565400843,0.009376465072667605,0.3
38,620,92,316,12.146539665656116,981,946,5.0,3.0,129.0,12820.0,6.0,0.0,2.0,1.0,0.7129360465116279,0.6875,0.0,-0.1600063633471206,62860.0,0.45058139534883723,0.0029069767441860465,0.003633720930232558,0.2
40,27,12,23,0.1567013099275786,33,29,3.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,0.8048780487804879,0.7073170731707317,0.0,0.10071942446043165,556.0,0.6585365853658537,0.024390243902439025,0.07317073170731707,0.0
41,958,134,389,1.086601677007376,1622,1418,8.0,7.0,8.0,285.0,20.0,5.0,1.0,1.0,0.8781808337845154,0.7677314564158094,0.0,0.672208465982785,8481.0,0.5186789388197076,0.005955603681645912,0.004331348132106118,0.0
42,1007,138,388,0.5063397013298319,2017,1844,15.0,10.0,32.0,4559.0,13.0,5.0,0.0,0.0,0.8901147396293028,0.8137687555163283,0.0,-0.3521549567579158,13991.0,0.4443954104148279,0.02736098852603707,0.006619593998234775,0.0
43,939,124,296,0.5313213820614995,1446,1226,22.0,7.0,11.0,634.0,20.0,3.0,0.0,0.0,0.8206583427922814,0.695800227014756,0.0,0.5245968068725181,12339.0,0.5329171396140749,0.0170261066969353,0.012485811577752554,0.045454545454545456
44,973,116,369,1.113161373695047,1906,1781,8.0,7.0,52.0,31099756.0,15.0,2.0,0.0,0.0,0.8811835413777162,0.8233934350439205,0.0,-0.9704927485992181,1200044.0,0.44983818770226536,0.007397133610725843,0.0036985668053629217,0.125
69,59,14,34,13.154888300413496,58,84,6.0,4.0,1.0,162.0,1.0,0.0,2.0,1.0,0.5,0.7241379310344828,0.0,0.0498238550578762,1987.0,0.5086206896551724,0.0,0.05172413793103448,0.0
70,974,144,345,2.9423897230315963,1400,1284,18.0,6.0,11.0,20543.0,17.0,5.0,1.0,1.0,0.7261410788381742,0.6659751037344398,0.0,-0.25083935755119324,66122.0,0.5051867219917012,0.019190871369294607,0.00933609958506224,0.05555555555555555
71,980,223,248,1.139605466269638,1690,1553,10.0,6.0,33.0,5615.0,16.0,7.0,0.0,0.0,0.7986767485822306,0.7339319470699432,0.0,0.9999862614372733,4788419379.0,0.46313799621928164,0.024102079395085067,0.004725897920604915,0.0
72,888,170,293,1.132477088061642,1808,1646,15.0,8.0,141.0,31106711.0,12.0,1.0,0.0,0.0,0.7992926613616269,0.7276746242263483,0.0,-0.9208874915327889,1486617.0,0.3925729442970822,0.016357206012378427,0.006631299734748011,0.0
73,920,202,326,0.4875332266552497,1802,1497,81.0,48.0,9.0,2678.0,15.0,3.0,0.0,0.0,0.7467882304185661,0.6203895565685869,0.0,-0.007683095347766006,54275.0,0.38126813095731454,0.01077496891835889,0.033568172399502695,0.012345679012345678
74,536,104,244,2.111461652531056,850,726,7.0,4.0,41.0,6550.0,4.0,2.0,0.0,0.0,0.7685352622061483,0.6564195298372514,0.0,-0.13912115281978296,44968.0,0.484629294755877,0.014466546112115732,0.006329113924050633,0.0
75,27,10,20,0.4964807331562042,27,21,2.0,2.0,4.0,4474.0,0.0,1.0,1.0,1.0,0.7105263157894737,0.5526315789473685,0.0,-0.7249055853707016,5031.0,0.7105263157894737,0.10526315789473684,0.05263157894736842,0.0
